iter	MultiClass
0	2.799933356
1	2.773900325
2	2.744306211
3	2.71183448
4	2.685435859
5	2.659747784
6	2.63363584
7	2.612984291
8	2.586563974
9	2.565486002
10	2.543566649
11	2.525042567
12	2.506129785
13	2.483682579
14	2.462084292
15	2.443815465
16	2.425332837
17	2.406147297
18	2.389488871
19	2.372163526
20	2.355121903
21	2.338836621
22	2.322684738
23	2.304525966
24	2.288588082
25	2.274022847
26	2.259271278
27	2.245165427
28	2.231729695
29	2.21869166
30	2.205208958
31	2.191722908
32	2.179081095
33	2.165929622
34	2.153545004
35	2.142098749
36	2.130590589
37	2.118800808
38	2.108795816
39	2.097659374
40	2.086826453
41	2.075627593
42	2.065897262
43	2.055476796
44	2.045353129
45	2.035710254
46	2.025997607
47	2.015563335
48	2.005906816
49	1.996904269
50	1.987822762
51	1.978913428
52	1.97118722
53	1.962423843
54	1.953373442
55	1.945110736
56	1.936834553
57	1.930046335
58	1.922091543
59	1.914160372
60	1.905925409
61	1.898541426
62	1.890954443
63	1.883827252
64	1.876608553
65	1.868596721
66	1.861793734
67	1.854494045
68	1.847689218
69	1.840374349
70	1.833367417
71	1.826580417
72	1.820046865
73	1.813649216
74	1.807206406
75	1.800318957
76	1.79380618
77	1.787160287
78	1.781107941
79	1.775202917
80	1.769360147
81	1.763770841
82	1.757791556
83	1.751490785
84	1.746306493
85	1.740972152
86	1.735476994
87	1.730070859
88	1.72482173
89	1.71938966
90	1.714044535
91	1.708917922
92	1.703904408
93	1.698558465
94	1.693415169
95	1.688659745
96	1.683800738
97	1.679122335
98	1.674241427
99	1.669515613
100	1.664287104
101	1.659658203
102	1.655341871
103	1.650762146
104	1.64658058
105	1.642131127
106	1.637322576
107	1.633205914
108	1.629057024
109	1.624727241
110	1.620715408
111	1.616836683
112	1.612628394
113	1.608521418
114	1.604562154
115	1.600293326
116	1.596343919
117	1.592429799
118	1.588333153
119	1.584878551
120	1.580896684
121	1.577166012
122	1.573143993
123	1.569406582
124	1.565490653
125	1.561830011
126	1.557906497
127	1.55413078
128	1.550707407
129	1.547106793
130	1.543554974
131	1.540191539
132	1.537128397
133	1.533456604
134	1.53013524
135	1.526803367
136	1.523274684
137	1.520033175
138	1.517022074
139	1.513836275
140	1.510812002
141	1.507650061
142	1.504639434
143	1.501487662
144	1.498501394
145	1.495154462
146	1.492171799
147	1.488921064
148	1.486115626
149	1.483063737
150	1.480251733
151	1.477502004
152	1.474541182
153	1.471788822
154	1.468928937
155	1.466304352
156	1.463608394
157	1.46056296
158	1.458053119
159	1.45551923
160	1.452928543
161	1.450439523
162	1.447881091
163	1.445228993
164	1.442620359
165	1.43997116
166	1.437223904
167	1.434607126
168	1.432149702
169	1.429546857
170	1.426920405
171	1.424494807
172	1.422049779
173	1.419393165
174	1.417170384
175	1.415189981
176	1.413154329
177	1.410758341
178	1.408121116
179	1.405910048
180	1.403444131
181	1.401143184
182	1.398745538
183	1.396444673
184	1.394053918
185	1.39194612
186	1.389556168
187	1.387314783
188	1.385140514
189	1.382799562
190	1.380761006
191	1.378841341
192	1.376551957
193	1.374403721
194	1.372508173
195	1.370269469
196	1.368291279
197	1.366353526
198	1.364297267
199	1.362217927
200	1.360244919
201	1.358327978
202	1.356596722
203	1.354646431
204	1.35300155
205	1.351162575
206	1.349127154
207	1.347234878
208	1.34536931
209	1.343555694
210	1.3417138
211	1.339826905
212	1.337968428
213	1.336177077
214	1.334470663
215	1.332540403
216	1.330636856
217	1.328838045
218	1.327086571
219	1.325357554
220	1.323508261
221	1.321993979
222	1.32047689
223	1.318649741
224	1.316911377
225	1.315238731
226	1.313616585
227	1.311904343
228	1.310331973
229	1.308645856
230	1.306879447
231	1.305424837
232	1.303640662
233	1.30185881
234	1.300405786
235	1.298648241
236	1.297073954
237	1.295296123
238	1.293719015
239	1.292149674
240	1.290571477
241	1.289033695
242	1.287429664
243	1.285853352
244	1.284409012
245	1.282729789
246	1.281199176
247	1.279676841
248	1.278146553
249	1.276746192
250	1.275279856
251	1.273822502
252	1.272367626
253	1.270652244
254	1.26906446
255	1.267593925
256	1.266143209
257	1.264840059
258	1.263309793
259	1.261865645
260	1.26036503
261	1.259033857
262	1.257683651
263	1.256325407
264	1.254864843
265	1.253351393
266	1.252174823
267	1.25093359
268	1.249790365
269	1.248264994
270	1.24687292
271	1.24551373
272	1.244139551
273	1.242764259
274	1.241463847
275	1.240191807
276	1.238837868
277	1.23733898
278	1.235949819
279	1.234548534
280	1.233326991
281	1.232185695
282	1.230923091
283	1.229549696
284	1.228216005
285	1.22698277
286	1.225665252
287	1.224499476
288	1.223160739
289	1.221840108
290	1.220517307
291	1.219223222
292	1.218023977
293	1.216931762
294	1.215923339
295	1.214858925
296	1.21381042
297	1.212476147
298	1.211384942
299	1.21036377
300	1.209179901
301	1.207948858
302	1.206752437
303	1.205528062
304	1.204405699
305	1.203209536
306	1.202103485
307	1.200932205
308	1.19997524
309	1.198656132
310	1.19759292
311	1.196415694
312	1.195177628
313	1.194014473
314	1.192864023
315	1.191814701
316	1.190788651
317	1.189734673
318	1.188616768
319	1.187413729
320	1.18619257
321	1.185001512
322	1.18382773
323	1.182757085
324	1.181878821
325	1.180689646
326	1.179425515
327	1.178424266
328	1.177314993
329	1.176229846
330	1.175146313
331	1.173979606
332	1.172921712
333	1.171926692
334	1.170869443
335	1.169778092
336	1.168709789
337	1.167667317
338	1.166551231
339	1.165463565
340	1.164496935
341	1.163529488
342	1.162425774
343	1.161324802
344	1.160386414
345	1.159345355
346	1.158531197
347	1.157743195
348	1.15663181
349	1.155491613
350	1.154519626
351	1.153614638
352	1.152598049
353	1.15169874
354	1.150804929
355	1.149846317
356	1.148709081
357	1.147682645
358	1.14668606
359	1.145701182
360	1.144615454
361	1.143646659
362	1.142723838
363	1.141831073
364	1.140878088
365	1.139831798
366	1.138932471
367	1.138012399
368	1.137268003
369	1.136569173
370	1.135523902
371	1.134633613
372	1.133847692
373	1.132952667
374	1.132066782
375	1.131043721
376	1.129991386
377	1.129211097
378	1.128221873
379	1.127433637
380	1.126606319
381	1.125545125
382	1.124649192
383	1.123820642
384	1.122890023
385	1.122020264
386	1.121178842
387	1.120218927
388	1.119377956
389	1.118528812
390	1.117915363
391	1.11701094
392	1.116061927
393	1.115248204
394	1.114270202
395	1.113409979
396	1.112386063
397	1.111548096
398	1.110852146
399	1.110053693
400	1.109233657
401	1.108525795
402	1.107663874
403	1.106737565
404	1.105928935
405	1.105182519
406	1.104382205
407	1.103688517
408	1.102949405
409	1.102084254
410	1.101198683
411	1.100307353
412	1.099490141
413	1.098783044
414	1.097937791
415	1.097083107
416	1.096313312
417	1.095493228
418	1.094666431
419	1.093929886
420	1.093161192
421	1.09239546
422	1.091566618
423	1.090724882
424	1.08993478
425	1.089137085
426	1.088434622
427	1.087794317
428	1.08695463
429	1.086263596
430	1.085393435
431	1.084781668
432	1.084110754
433	1.083391289
434	1.082638202
435	1.081860148
436	1.081067415
437	1.080293462
438	1.079490496
439	1.078681638
440	1.077960993
441	1.077059254
442	1.076302997
443	1.07538877
444	1.074610875
445	1.073950835
446	1.073153514
447	1.072531622
448	1.071823568
449	1.0710132
450	1.070416805
451	1.069646054
452	1.068982173
453	1.068202645
454	1.067487848
455	1.066649062
456	1.065981903
457	1.065181023
458	1.064535173
