iter	Passed	Remaining
0	15	26719
1	29	26127
2	45	26451
3	59	26025
4	74	25828
5	89	25905
6	103	25803
7	118	25766
8	132	25657
9	147	25677
10	162	25664
11	176	25633
12	192	25694
13	208	25821
14	223	25889
15	242	26229
16	259	26490
17	276	26652
18	295	26921
19	318	27564
20	339	27966
21	359	28226
22	375	28162
23	391	28176
24	410	28322
25	425	28238
26	442	28227
27	458	28210
28	472	28041
29	485	27863
30	499	27707
31	513	27549
32	527	27439
33	541	27342
34	554	27194
35	569	27098
36	584	27048
37	602	27142
38	618	27139
39	634	27113
40	648	27038
41	663	26974
42	677	26906
43	692	26859
44	707	26788
45	721	26708
46	735	26658
47	750	26628
48	767	26645
49	785	26708
50	798	26609
51	812	26520
52	827	26484
53	840	26412
54	854	26335
55	868	26263
56	881	26189
57	895	26126
58	910	26104
59	925	26069
60	940	26037
61	958	26082
62	972	26043
63	986	25996
64	1000	25940
65	1015	25907
66	1028	25845
67	1042	25785
68	1056	25733
69	1069	25666
70	1083	25612
71	1097	25587
72	1114	25612
73	1131	25618
74	1145	25592
75	1160	25569
76	1175	25534
77	1189	25507
78	1204	25480
79	1219	25453
80	1233	25419
81	1248	25389
82	1263	25368
83	1279	25372
84	1297	25407
85	1315	25453
86	1332	25461
87	1346	25436
88	1363	25441
89	1378	25419
90	1393	25403
91	1408	25375
92	1423	25357
93	1438	25348
94	1455	25350
95	1471	25354
96	1488	25369
97	1503	25350
98	1518	25321
99	1533	25306
100	1549	25299
101	1565	25292
102	1580	25274
103	1596	25269
104	1612	25257
105	1627	25234
106	1644	25248
107	1662	25275
108	1677	25257
109	1693	25248
110	1708	25223
111	1724	25227
112	1740	25206
113	1755	25197
114	1770	25166
115	1785	25144
116	1799	25117
117	1814	25095
118	1831	25101
119	1846	25080
120	1862	25072
121	1876	25043
122	1890	25011
123	1905	24983
124	1920	24961
125	1934	24927
126	1948	24895
127	1962	24872
128	1977	24853
129	1992	24826
130	2006	24803
131	2022	24785
132	2038	24780
133	2053	24758
134	2068	24741
135	2082	24717
136	2098	24703
137	2114	24699
138	2130	24689
139	2144	24665
140	2159	24643
141	2174	24620
142	2189	24607
143	2207	24616
144	2223	24615
145	2237	24585
146	2252	24557
147	2265	24523
148	2278	24485
149	2295	24486
150	2309	24459
151	2314	24333
152	2329	24313
153	2343	24290
154	2358	24269
155	2375	24273
156	2392	24274
157	2411	24294
158	2426	24276
159	2440	24254
160	2455	24236
161	2471	24228
162	2486	24206
163	2501	24187
164	2515	24166
165	2530	24149
166	2546	24140
167	2564	24153
168	2582	24163
169	2598	24152
170	2613	24132
171	2629	24121
172	2643	24100
173	2658	24077
174	2673	24061
175	2687	24036
176	2702	24013
177	2716	23992
178	2732	23985
179	2748	23976
180	2765	23970
181	2780	23953
182	2794	23931
183	2811	23924
184	2824	23895
185	2839	23877
186	2853	23851
187	2867	23824
188	2881	23798
189	2895	23775
190	2910	23753
191	2931	23784
192	2947	23777
193	2962	23760
194	2977	23742
195	2993	23735
196	3007	23708
197	3023	23695
198	3038	23679
199	3054	23672
200	3071	23667
201	3086	23654
202	3102	23643
203	3121	23653
204	3137	23644
205	3152	23631
206	3168	23617
207	3184	23606
208	3199	23590
209	3214	23570
210	3228	23551
211	3243	23533
212	3258	23513
213	3272	23492
214	3288	23475
215	3304	23469
216	3322	23468
217	3336	23447
218	3350	23424
219	3365	23403
220	3379	23384
221	3394	23362
222	3408	23339
223	3422	23315
224	3437	23295
225	3451	23276
226	3466	23257
227	3483	23253
228	3500	23247
229	3514	23225
230	3527	23197
231	3541	23170
232	3555	23148
233	3568	23120
234	3582	23095
235	3596	23071
236	3609	23045
237	3625	23030
238	3640	23016
239	3657	23014
240	3673	23001
241	3688	22985
242	3702	22962
243	3717	22942
244	3732	22925
245	3746	22907
246	3761	22887
247	3775	22867
248	3790	22849
249	3805	22831
250	3820	22817
251	3837	22808
252	3856	22818
253	3871	22800
254	3886	22782
255	3900	22761
256	3915	22745
257	3931	22735
258	3945	22714
259	3958	22687
260	3973	22667
261	3987	22647
262	4004	22638
263	4021	22637
264	4037	22626
265	4052	22609
266	4068	22595
267	4083	22578
268	4097	22560
269	4112	22543
270	4128	22533
271	4143	22517
272	4159	22503
273	4180	22518
274	4195	22503
275	4213	22504
276	4229	22490
277	4244	22475
278	4259	22456
279	4275	22443
280	4290	22428
281	4304	22409
282	4319	22389
283	4333	22370
284	4348	22352
285	4362	22332
286	4377	22312
287	4393	22301
288	4410	22295
289	4424	22274
290	4437	22250
291	4451	22224
292	4464	22201
